Name,Height,Weight,Preferred Foot,Birth Date,Age,Preferred Positions,OVR,POT,Value,Wage,GK Reflexes,Ball Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeper
Jonathan Tah ,195 cm,94 kg,Right,"Feb. 11, 1996",27,CB,81,82,24000000.0,55.0,14,63.0,82.0,66.66666666666667,60.0,68.0,42.0,9.8
Anderson Talisca ,189 cm,75 kg,Left,"Feb. 1, 1994",29,"CF, ST, CAM",81,81,25500000.0,60.0,10,82.5,48.5,72.33333333333333,75.33333333333333,76.14285714285714,81.625,11.8
Odisseas Vlachodimos ,190 cm,81 kg,Right,"April 26, 1994",29,GK,81,83,17500000.0,60.0,84,18.0,13.0,42.0,22.0,52.42857142857143,19.125,78.0
Rui Silva ,191 cm,91 kg,Right,"Feb. 7, 1994",29,GK,81,81,17500000.0,25.0,84,21.0,14.5,40.5,24.0,39.142857142857146,24.375,80.0
Gaëtan Laborde ,181 cm,78 kg,Left,"May 3, 1994",29,ST,81,81,25500000.0,60.0,9,80.0,28.5,71.33333333333333,75.0,77.0,76.625,12.2
Fred ,169 cm,62 kg,Left,"March 5, 1993",30,"CM, CDM",81,81,24500000.0,44.0,15,79.5,77.0,81.83333333333333,78.33333333333333,77.28571428571429,68.5,12.8
Nathan Aké ,180 cm,75 kg,Left,"Feb. 18, 1995",28,"CB, LB",81,82,22000000.0,125.0,10,75.5,83.0,72.16666666666667,73.0,74.57142857142857,59.5,10.0
Lucas Vázquez ,173 cm,70 kg,Right,"July 1, 1991",32,"RB, RW",81,81,18000000.0,140.0,7,80.0,73.5,77.0,80.33333333333333,77.57142857142857,69.25,10.0
Bryan Cristante ,186 cm,80 kg,Right,"March 3, 1995",28,"CDM, CM",81,82,22500000.0,70.0,5,78.0,75.5,77.5,79.33333333333333,67.85714285714286,70.25,3.8
William Carvalho ,187 cm,79 kg,Right,"April 7, 1992",31,"CDM, CAM",81,81,18000000.0,29.5,14,81.5,72.0,78.83333333333333,77.33333333333333,60.42857142857143,65.25,9.0
Leandro Trossard ,171 cm,67 kg,Right,"Dec. 4, 1994",29,"CF, LW",81,81,26500000.0,130.0,7,83.0,24.5,64.33333333333333,78.0,78.28571428571429,76.25,9.4
Kepa ,189 cm,85 kg,Right,"Oct. 3, 1994",29,GK,81,83,18500000.0,90.0,84,24.5,17.0,41.5,48.333333333333336,41.857142857142854,24.125,81.0
Maximilian Arnold ,184 cm,74 kg,Left,"May 27, 1994",29,"CDM, CM",81,81,22000000.0,55.0,10,80.0,76.5,78.66666666666667,78.0,69.28571428571429,76.625,10.2
Arkadiusz Milik ,186 cm,80 kg,Left,"Feb. 28, 1994",29,ST,81,81,25500000.0,125.0,6,80.0,33.0,71.66666666666667,67.33333333333333,67.85714285714286,81.5,12.4
Brice Samba ,187 cm,90 kg,Left,"April 25, 1994",29,GK,81,83,17500000.0,36.0,83,17.0,13.0,41.166666666666664,31.333333333333332,55.142857142857146,18.5,80.2
Mário Rui ,170 cm,67 kg,Left,"May 27, 1991",32,LB,81,81,18000000.0,60.0,14,79.0,77.5,73.83333333333333,79.0,78.28571428571429,64.25,9.8
Felipe Anderson ,175 cm,70 kg,Right,"April 15, 1993",30,"RW, ST",81,81,25000000.0,65.0,7,85.5,60.5,75.33333333333333,76.0,83.57142857142857,73.125,8.6
Geoffrey Kondogbia ,188 cm,76 kg,Left,"Feb. 15, 1993",30,"CM, CDM",81,81,24500000.0,50.0,10,77.5,80.5,82.0,75.66666666666667,76.42857142857143,70.25,10.6
Danilo Pereira ,188 cm,83 kg,Right,"Sept. 9, 1991",32,"CDM, CB",81,81,18000000.0,80.0,15,74.0,75.0,76.83333333333333,71.0,64.57142857142857,62.625,11.6
Steven Berghuis ,182 cm,75 kg,Left,"Dec. 19, 1991",31,"CAM, CM, RW",81,81,21500000.0,23.0,15,82.0,33.5,71.66666666666667,82.33333333333333,73.71428571428571,76.75,9.8
Lewis Dunk ,192 cm,88 kg,Right,"Nov. 21, 1991",32,CB,81,81,17500000.0,85.0,6,70.0,81.0,70.16666666666667,65.33333333333333,56.857142857142854,55.375,11.6
Danilo ,184 cm,78 kg,Right,"July 15, 1991",32,"CB, RB",81,81,17500000.0,100.0,5,76.0,82.0,76.33333333333333,76.66666666666667,72.85714285714286,71.375,10.6
Wilfried Zaha ,180 cm,66 kg,Right,"Nov. 10, 1992",31,"LW, CF, LM",81,81,25000000.0,60.0,10,86.5,37.5,69.0,72.66666666666667,80.14285714285714,68.875,12.2
Lorenzo Insigne ,163 cm,59 kg,Right,"June 4, 1991",32,"LW, CF, LM",81,81,20500000.0,14.0,10,86.0,23.0,62.833333333333336,80.0,72.57142857142857,77.875,9.0
Sebastián Coates ,196 cm,94 kg,Right,"Oct. 7, 1990",33,CB,81,81,16500000.0,17.5,13,65.5,82.5,70.83333333333333,54.666666666666664,65.28571428571429,48.625,14.6
Henrikh Mkhitaryan ,177 cm,75 kg,Right,"Jan. 21, 1989",34,"CAM, CM",81,81,12000000.0,85.0,7,83.5,54.0,77.16666666666667,77.0,78.42857142857143,75.625,8.4
Bernd Leno ,189 cm,83 kg,Right,"March 4, 1992",31,GK,81,81,13500000.0,70.0,83,25.5,16.5,42.666666666666664,35.666666666666664,55.42857142857143,17.625,79.8
Nemanja Matić ,194 cm,85 kg,Left,"Aug. 1, 1988",35,"CDM, CM",81,81,9000000.0,55.0,9,82.5,75.5,76.33333333333333,78.33333333333333,55.42857142857143,68.5,11.4
Lukáš Hrádecký ,192 cm,85 kg,Right,"Nov. 24, 1989",34,GK,81,81,8500000.0,46.0,86,15.0,11.5,39.5,24.666666666666668,44.57142857142857,17.5,78.0
Muniain ,170 cm,66 kg,Right,"Dec. 19, 1992",30,"CAM, LM",81,81,25000000.0,36.0,12,84.5,46.5,72.66666666666667,80.0,76.14285714285714,70.25,9.0
Toby Alderweireld ,187 cm,91 kg,Right,"March 2, 1989",34,CB,81,81,8500000.0,37.0,14,68.0,80.5,76.5,75.33333333333333,64.57142857142857,65.25,13.2
Simon Kjær ,190 cm,86 kg,Right,"March 26, 1989",34,CB,81,81,8500000.0,65.0,15,60.5,80.0,66.66666666666667,65.0,64.0,58.25,10.8
Etienne Capoue ,190 cm,80 kg,Right,"July 11, 1988",35,"CM, CDM",81,81,12000000.0,42.0,12,79.5,79.5,79.0,77.66666666666667,63.57142857142857,71.0,12.0
Rui Patrício ,190 cm,84 kg,Left,"Feb. 15, 1988",35,GK,81,81,2900000.0,35.0,79,22.5,12.0,46.5,26.0,60.0,20.75,78.8
Dries Mertens ,169 cm,61 kg,Right,"May 6, 1987",36,"CF, CAM",81,81,9000000.0,44.0,4,84.0,41.5,70.5,76.33333333333333,67.71428571428571,74.125,7.8
Ivan Rakitić ,184 cm,78 kg,Right,"March 10, 1988",35,"CM, CDM",81,81,10500000.0,26.5,9,81.5,75.5,77.33333333333333,84.0,61.714285714285715,78.75,10.2
Kasper Schmeichel ,189 cm,88 kg,Right,"Nov. 5, 1986",37,GK,81,81,650000.0,16.5,80,26.0,13.5,45.5,35.666666666666664,51.42857142857143,21.25,78.8
Raúl Albiol ,190 cm,82 kg,Right,"Sept. 4, 1985",38,CB,81,81,4600000.0,27.0,8,65.5,84.5,70.16666666666667,61.333333333333336,50.285714285714285,48.5,7.2
Guillermo Ochoa ,185 cm,78 kg,Right,"July 13, 1985",38,GK,81,81,650000.0,21.0,86,15.0,11.5,39.666666666666664,29.666666666666668,52.285714285714285,19.75,78.8
Pepe ,188 cm,79 kg,Right,"Feb. 26, 1983",40,CB,81,81,4600000.0,11.5,10,59.0,81.0,70.33333333333333,64.66666666666667,74.14285714285714,52.125,9.4
Giorgi Mamardashvili ,199 cm,88 kg,Left,"Sept. 29, 2000",23,GK,80,86,18500000.0,25.5,82,16.5,11.0,29.0,14.333333333333334,49.42857142857143,15.625,79.2
Arnau Martínez ,181 cm,75 kg,Right,"April 25, 2003",20,"RB, RWB",80,87,21500000.0,21.5,9,77.0,78.0,69.33333333333333,75.0,74.71428571428571,52.25,8.6
Gonçalo Ramos ,185 cm,82 kg,Right,"June 20, 2001",22,ST,80,87,25000000.0,17.0,15,77.0,40.5,71.66666666666667,66.0,81.0,69.625,10.6
Moisés Caicedo ,178 cm,71 kg,Right,"Nov. 2, 2001",22,"CDM, CM",80,85,22000000.0,70.0,13,78.0,79.5,75.0,71.33333333333333,74.57142857142857,58.625,11.2
Kaoru Mitoma ,178 cm,71 kg,Right,"May 20, 1997",26,LM,80,81,23000000.0,90.0,9,86.0,56.5,70.33333333333333,70.33333333333333,77.85714285714286,66.875,11.2
Vitinha ,172 cm,64 kg,Right,"Feb. 13, 2000",23,CM,80,84,24000000.0,70.0,5,85.0,70.0,77.0,79.33333333333333,73.0,63.875,8.6
Karim Adeyemi ,180 cm,77 kg,Left,"Jan. 18, 2002",21,"LM, RM, ST",80,87,25000000.0,38.0,7,80.5,30.5,65.5,69.66666666666667,84.57142857142857,71.25,10.0
Zubimendi ,181 cm,74 kg,Right,"Feb. 2, 1999",24,"CDM, CM",80,85,21500000.0,30.0,13,75.5,78.5,78.83333333333333,74.33333333333333,70.57142857142857,58.75,10.4
Ibañez ,185 cm,73 kg,Right,"Nov. 23, 1998",25,CB,80,84,21000000.0,34.0,12,60.0,84.0,64.16666666666667,45.666666666666664,79.42857142857143,39.75,9.4
Dávid Hancko ,188 cm,80 kg,Left,"Dec. 13, 1997",25,"CB, LB",80,84,20500000.0,19.0,14,75.0,81.5,74.33333333333333,73.0,76.42857142857143,65.75,10.6
Julián Álvarez ,170 cm,71 kg,Right,"Jan. 31, 2000",23,"ST, CF, CAM",80,86,24500000.0,115.0,6,83.0,49.5,75.33333333333333,75.0,80.0,77.25,9.0
Arthur Cabral ,186 cm,89 kg,Right,"April 25, 1998",25,ST,80,84,24000000.0,18.5,6,77.5,26.0,64.0,60.666666666666664,78.14285714285714,72.75,10.8
Youssouf Fofana ,185 cm,74 kg,Right,"Jan. 10, 1999",24,"CDM, CM",80,84,21500000.0,45.0,9,78.0,79.0,77.16666666666667,74.66666666666667,74.14285714285714,63.0,9.0
Xavi Simons ,179 cm,61 kg,Right,"April 21, 2003",20,"CAM, LW, RW",80,89,24000000.0,60.0,10,83.5,59.0,75.16666666666667,75.66666666666667,81.0,67.25,8.6
Armand Laurienté ,177 cm,79 kg,Right,"Dec. 4, 1998",25,"LW, RW, ST",80,84,24500000.0,22.0,15,83.5,41.5,62.833333333333336,72.33333333333333,69.71428571428571,72.375,12.6
Eljif Elmas ,184 cm,74 kg,Right,"Sept. 24, 1999",24,"CAM, CM, LW",80,86,24500000.0,50.0,15,85.5,68.0,75.16666666666667,76.0,73.71428571428571,64.5,9.6
Teun Koopmeiners ,183 cm,77 kg,Left,"Feb. 28, 1998",25,"CM, CDM",80,83,23000000.0,55.0,10,78.0,75.0,77.66666666666667,81.0,73.0,75.25,11.6
Davide Frattesi ,178 cm,74 kg,Right,"Sept. 22, 1999",24,CM,80,86,24000000.0,20.0,10,82.5,70.5,76.66666666666667,77.0,74.57142857142857,67.5,8.8
Pepê ,173 cm,72 kg,Right,"Feb. 24, 1997",26,"RM, LM, RB",80,81,23000000.0,18.0,9,84.0,52.5,69.83333333333333,71.0,76.0,59.875,10.4
Nicolò Zaniolo ,190 cm,79 kg,Left,"July 2, 1999",24,"RM, CF",80,84,24500000.0,43.0,5,82.0,60.5,77.66666666666667,71.33333333333333,80.57142857142857,69.25,9.6
Kevin Danso ,190 cm,85 kg,Right,"Sept. 19, 1998",25,CB,80,84,21000000.0,34.0,15,63.5,79.5,66.0,57.0,73.42857142857143,40.125,11.4
Pervis Estupiñán ,175 cm,78 kg,Left,"Jan. 21, 1998",25,LB,80,82,21000000.0,75.0,7,77.5,80.0,69.5,75.66666666666667,76.42857142857143,51.375,9.8
Takefusa Kubo ,173 cm,64 kg,Left,"June 4, 2001",22,"RW, ST, CAM",80,86,25000000.0,37.0,10,83.5,44.5,62.833333333333336,76.33333333333333,76.85714285714286,68.375,9.6
Juan Foyth ,187 cm,83 kg,Right,"Jan. 12, 1998",25,"RB, CB, CDM",80,85,21000000.0,34.0,9,73.5,81.0,70.33333333333333,73.66666666666667,73.42857142857143,52.125,10.6
Boubacar Kamara ,184 cm,68 kg,Right,"Nov. 23, 1999",24,"CDM, CM",80,85,21500000.0,70.0,11,74.0,81.0,74.16666666666667,73.33333333333333,72.14285714285714,55.75,9.0
Facundo Medina ,184 cm,77 kg,Left,"May 28, 1999",24,CB,80,84,21000000.0,34.0,13,71.0,81.5,75.5,71.33333333333333,72.0,41.125,11.2
David Neres ,175 cm,69 kg,Left,"March 3, 1997",26,"RM, RW, CAM",80,81,23000000.0,18.0,6,85.5,37.5,68.83333333333333,73.33333333333333,79.14285714285714,68.375,9.6
Luiz Felipe ,187 cm,80 kg,Right,"March 22, 1997",26,CB,80,84,20000000.0,44.0,9,70.0,81.5,65.66666666666667,64.66666666666667,67.42857142857143,38.375,10.8
Fran Beltrán ,165 cm,64 kg,Right,"Feb. 3, 1999",24,"CDM, CM",80,84,21500000.0,23.5,9,77.5,81.5,72.83333333333333,79.33333333333333,66.85714285714286,55.875,11.0
Marcus Edwards ,168 cm,65 kg,Left,"Dec. 3, 1998",25,"RW, LW, ST",80,85,24500000.0,17.0,6,85.0,28.0,65.0,69.0,73.85714285714286,65.25,11.0
Harvey Barnes ,185 cm,72 kg,Right,"Dec. 9, 1997",26,"LW, LM",80,83,23500000.0,115.0,10,81.5,41.5,69.5,73.0,77.57142857142857,69.125,8.0
Diogo Dalot ,184 cm,76 kg,Right,"March 18, 1999",24,RB,80,84,22000000.0,90.0,8,79.5,77.0,78.0,76.33333333333333,78.57142857142857,61.875,8.0
Florentino ,184 cm,74 kg,Right,"Aug. 19, 1999",24,"CDM, CM",80,85,21500000.0,14.0,14,73.0,80.0,75.16666666666667,66.33333333333333,68.71428571428571,48.375,11.6
Zubeldia ,181 cm,73 kg,Right,"March 30, 1997",26,CB,80,84,20000000.0,35.0,13,72.0,77.5,76.16666666666667,74.33333333333333,76.28571428571429,63.375,9.2
Mauro Arambarri ,175 cm,74 kg,Right,"Sept. 30, 1995",28,"CDM, CM",80,81,20000000.0,32.0,7,78.0,80.5,74.66666666666667,72.66666666666667,71.28571428571429,66.625,11.0
Wataru Endo ,178 cm,77 kg,Right,"Feb. 9, 1993",30,"CM, CDM",80,80,20000000.0,110.0,5,81.0,75.5,77.66666666666667,73.0,75.71428571428571,60.75,9.0
Richarlison ,184 cm,71 kg,Right,"May 10, 1997",26,"ST, LW, RW",80,83,23500000.0,95.0,13,83.0,53.0,74.5,70.33333333333333,77.42857142857143,76.5,10.2
Benjamin White ,185 cm,77 kg,Right,"Oct. 8, 1997",26,"RB, CB",80,83,21000000.0,95.0,6,75.5,81.5,74.5,73.33333333333333,71.71428571428571,35.125,8.4
Exequiel Palacios ,178 cm,71 kg,Right,"Oct. 5, 1998",25,"CM, CDM, CAM",80,84,24000000.0,50.0,6,80.0,81.5,78.5,77.33333333333333,71.85714285714286,69.25,7.6
Brahim ,171 cm,59 kg,Right,"Aug. 3, 1999",24,"CAM, CF, RW",80,85,24500000.0,125.0,6,83.5,22.0,63.0,75.33333333333333,72.28571428571429,61.875,10.2
Tammy Abraham ,195 cm,86 kg,Right,"Oct. 2, 1997",26,ST,80,84,24000000.0,70.0,13,80.5,24.5,69.16666666666667,61.0,76.0,72.25,10.6
Tony Abranjes ,179 cm,80 kg,Right,"Feb. 29, 1988",35,CB,80,80,5500000.0,15.0,13,57.5,79.5,62.333333333333336,57.0,74.0,49.5,9.4
Laure Santeiro ,171 cm,63 kg,Left,"Feb. 29, 2000",23,"CAM, LM, LW",80,80,24500000.0,20.0,10,82.0,18.0,65.16666666666667,77.33333333333333,70.42857142857143,66.25,9.6
Heberto Gaúcho ,181 cm,82 kg,Right,"Feb. 29, 1996",27,"CB, CDM",80,80,19500000.0,21.0,18,62.0,84.5,70.66666666666667,55.0,72.42857142857143,66.125,14.6
Héniton Pires ,182 cm,74 kg,Right,"Feb. 29, 1996",27,GK,80,80,16000000.0,17.0,79,17.0,15.5,43.166666666666664,25.333333333333332,47.142857142857146,19.875,78.8
Maikel Catarino ,177 cm,75 kg,Right,"Feb. 29, 1996",27,"RB, RM",80,80,20500000.0,21.0,15,77.5,77.0,65.33333333333333,76.33333333333333,77.0,52.375,13.0
Aaron Wan-Bissaka ,183 cm,72 kg,Right,"Nov. 26, 1997",26,RB,80,83,21000000.0,100.0,8,77.0,86.0,74.66666666666667,67.66666666666667,75.28571428571429,51.625,7.8
Denis Zakaria ,190 cm,81 kg,Right,"Nov. 20, 1996",27,"CDM, CM",80,82,20500000.0,55.0,11,77.5,79.5,76.66666666666667,73.66666666666667,76.42857142857143,57.375,11.0
André Silva ,185 cm,84 kg,Right,"Nov. 6, 1995",28,ST,80,81,23000000.0,65.0,8,81.5,37.0,76.16666666666667,67.33333333333333,77.71428571428571,75.25,10.6
Aleix García ,173 cm,68 kg,Right,"June 28, 1997",26,"CM, CDM",80,83,23000000.0,60.0,7,81.0,73.0,76.33333333333333,81.0,69.57142857142857,69.125,10.0
Ezequiel Ávila ,172 cm,81 kg,Right,"Feb. 6, 1994",29,"ST, RM, LM",80,80,21000000.0,39.0,14,78.0,43.5,71.0,64.0,81.0,74.5,9.4
Nuno Santos ,177 cm,72 kg,Left,"Feb. 13, 1995",28,"LW, LWB",80,80,21000000.0,20.0,15,80.5,60.5,75.83333333333333,76.0,76.57142857142857,76.375,10.6
Oleksandr Zinchenko ,175 cm,64 kg,Left,"Dec. 15, 1996",26,LB,80,82,21000000.0,100.0,11,84.0,80.0,79.5,84.0,71.57142857142857,69.5,12.2
Marko Dmitrović ,194 cm,91 kg,Left,"Jan. 24, 1992",31,GK,80,80,11000000.0,24.5,80,8.5,21.0,37.833333333333336,36.666666666666664,48.42857142857143,29.0,79.4
Kieran Tierney ,180 cm,73 kg,Left,"June 5, 1997",26,LB,80,82,21000000.0,100.0,13,78.0,78.5,77.5,76.33333333333333,75.85714285714286,58.0,12.4
Aritz Elustondo ,180 cm,71 kg,Right,"March 28, 1994",29,"CB, RB",80,81,17500000.0,37.0,8,62.5,78.5,66.0,72.66666666666667,67.0,46.875,10.4
Emiliano Buendía ,172 cm,72 kg,Right,"Dec. 25, 1996",26,"RM, CAM",80,81,23000000.0,90.0,9,83.5,64.5,76.16666666666667,80.0,74.42857142857143,73.0,10.0
Álex Berenguer ,175 cm,73 kg,Right,"July 4, 1995",28,"LM, RM",80,80,22500000.0,33.0,13,81.5,64.5,76.66666666666667,74.33333333333333,78.0,71.625,11.4
Joan Jordán ,184 cm,74 kg,Right,"July 6, 1994",29,"CM, CDM",80,80,21000000.0,35.0,9,79.5,69.0,77.33333333333333,77.33333333333333,63.857142857142854,71.5,11.8
Ramy Bensebaini ,187 cm,82 kg,Left,"April 16, 1995",28,"LB, CB",80,80,19000000.0,49.0,14,79.0,80.0,73.33333333333333,74.66666666666667,75.71428571428571,70.0,10.8
Sofyan Amrabat ,185 cm,75 kg,Right,"Aug. 21, 1996",27,"CDM, CM",80,83,20500000.0,55.0,12,81.5,74.0,77.16666666666667,76.33333333333333,74.28571428571429,67.25,12.0
Adam Marušić ,185 cm,85 kg,Right,"Oct. 17, 1992",31,"LB, RB",80,80,18000000.0,50.0,10,75.5,76.5,72.0,67.33333333333333,82.14285714285714,68.0,8.8
David Soria ,192 cm,85 kg,Right,"April 4, 1993",30,GK,80,80,14000000.0,26.0,82,17.5,13.0,39.166666666666664,24.0,52.285714285714285,24.0,78.6
Valentin Rongier ,172 cm,67 kg,Right,"Dec. 7, 1994",29,"CDM, CM",80,80,18500000.0,44.0,11,77.5,76.0,77.66666666666667,74.0,76.71428571428571,66.0,9.8
Vedat Muriqi ,194 cm,92 kg,Left,"April 24, 1994",29,ST,80,80,21000000.0,38.0,10,80.0,23.5,66.0,59.0,61.285714285714285,74.625,10.0
Jonas Omlin ,190 cm,85 kg,Right,"Jan. 10, 1994",29,GK,80,81,14500000.0,27.5,82,29.0,22.5,39.833333333333336,34.666666666666664,52.42857142857143,24.375,78.6
Mario Pašalić ,189 cm,82 kg,Right,"Feb. 9, 1995",28,"CAM, CF, CM",80,80,21000000.0,60.0,14,84.0,68.0,76.66666666666667,76.0,72.71428571428571,70.125,12.8
Lukas Klostermann ,189 cm,88 kg,Right,"June 3, 1996",27,"CB, RB",80,81,19500000.0,55.0,7,72.0,83.0,70.5,69.66666666666667,75.85714285714286,45.375,8.8
Julian Weigl ,186 cm,77 kg,Right,"Sept. 8, 1995",28,CDM,80,81,20000000.0,32.0,7,76.5,72.0,76.33333333333333,77.33333333333333,67.85714285714286,61.25,10.8
Ollie Watkins ,180 cm,70 kg,Right,"Dec. 30, 1995",27,ST,80,81,23000000.0,95.0,10,75.0,41.0,67.83333333333333,66.0,81.57142857142857,71.5,11.6
Victor Lindelöf ,187 cm,80 kg,Right,"July 17, 1994",29,CB,80,81,18000000.0,110.0,9,74.0,79.5,74.83333333333333,74.66666666666667,66.28571428571429,57.5,10.4
Pau López ,189 cm,77 kg,Left,"Dec. 13, 1994",28,GK,80,82,15000000.0,36.0,82,31.0,15.5,46.666666666666664,47.333333333333336,49.714285714285715,25.0,80.4
David Raya ,183 cm,75 kg,Right,"Sept. 15, 1995",28,GK,80,82,16000000.0,48.0,82,29.5,13.5,43.333333333333336,44.333333333333336,50.42857142857143,24.25,80.4
Hamari Traoré ,175 cm,70 kg,Right,"Jan. 27, 1992",31,RB,80,80,15500000.0,35.0,16,76.5,77.5,72.33333333333333,76.0,80.71428571428571,56.0,11.2
Álex Moreno ,179 cm,68 kg,Left,"June 8, 1993",30,LB,80,80,18000000.0,80.0,9,77.0,76.5,71.0,74.33333333333333,80.0,65.5,10.8
Anthony Martial ,184 cm,76 kg,Right,"Dec. 5, 1995",28,ST,80,81,23000000.0,125.0,11,86.0,32.0,67.16666666666667,69.66666666666667,75.71428571428571,74.75,10.2
Nicolás Tagliafico ,172 cm,65 kg,Left,"Aug. 31, 1992",31,LB,80,80,18000000.0,40.0,16,74.5,77.5,75.66666666666667,75.33333333333333,81.14285714285714,55.375,12.6
Chancel Mbemba ,182 cm,81 kg,Right,"Aug. 8, 1994",29,CB,80,81,18000000.0,44.0,7,67.0,81.0,73.0,68.66666666666667,74.85714285714286,49.625,10.6
Hany Mukhtar ,173 cm,71 kg,Right,"March 21, 1995",28,"CF, ST, CAM",80,80,21500000.0,13.5,12,82.0,44.0,68.0,77.0,78.57142857142857,69.25,11.0
Hakim Ziyech ,181 cm,65 kg,Left,"March 19, 1993",30,"RW, CAM",80,80,20500000.0,120.0,14,81.5,49.0,73.66666666666667,83.33333333333333,71.57142857142857,73.875,10.2
Marten de Roon ,185 cm,76 kg,Right,"March 29, 1991",32,"CDM, CM, CB",80,80,14000000.0,50.0,12,73.0,81.5,78.0,72.66666666666667,74.14285714285714,68.75,12.0
Emil Forsberg ,177 cm,76 kg,Right,"Oct. 23, 1991",32,"CAM, CF",80,80,17500000.0,60.0,11,83.0,30.0,71.5,81.0,67.57142857142857,69.875,11.0
Saúl ,184 cm,75 kg,Left,"Nov. 21, 1994",29,"CM, LM, LWB",80,80,21000000.0,60.0,9,79.5,76.5,78.0,76.0,72.57142857142857,73.625,10.2
Matheus ,190 cm,84 kg,Right,"July 19, 1992",31,GK,80,80,14000000.0,14.5,82,17.0,17.5,38.333333333333336,26.0,50.714285714285715,20.125,79.8
Téji Savanier ,172 cm,69 kg,Right,"Dec. 22, 1991",31,"CAM, CM",80,80,17500000.0,31.0,10,81.5,70.0,80.16666666666667,83.0,71.42857142857143,73.125,11.6
Lucas Ocampos ,187 cm,84 kg,Right,"July 11, 1994",29,"RW, LW",80,80,21000000.0,38.0,7,82.5,56.0,78.33333333333333,77.0,79.28571428571429,77.875,10.6
Niclas Füllkrug ,188 cm,83 kg,Right,"Feb. 9, 1993",30,ST,80,80,20500000.0,55.0,9,76.5,31.0,70.33333333333333,66.0,68.71428571428571,78.875,11.2
Marcel Sabitzer ,178 cm,76 kg,Right,"March 17, 1994",29,"CM, CAM, CDM",80,80,20500000.0,55.0,13,81.0,71.5,78.5,79.33333333333333,73.0,77.125,13.2
Edgar Badia ,180 cm,70 kg,Right,"Feb. 12, 1992",31,GK,80,80,11000000.0,11.0,80,16.0,13.5,41.666666666666664,25.333333333333332,48.0,22.5,78.6
Leonardo Spinazzola ,186 cm,75 kg,Right,"March 25, 1993",30,"LWB, LM",80,80,18000000.0,65.0,14,79.5,76.5,74.33333333333333,73.0,78.42857142857143,61.75,13.0
Suso ,177 cm,70 kg,Left,"Nov. 19, 1993",30,"RW, CAM",80,80,20500000.0,38.0,9,84.5,20.5,61.166666666666664,79.33333333333333,68.14285714285714,73.875,11.2
Deulofeu ,177 cm,73 kg,Right,"March 13, 1994",29,"CF, ST",80,80,21000000.0,26.0,11,85.5,26.0,64.83333333333333,73.33333333333333,81.14285714285714,73.5,12.8
Jordan Veretout ,177 cm,67 kg,Right,"March 1, 1993",30,"CM, CDM",80,80,20000000.0,46.0,9,79.0,79.0,78.33333333333333,77.0,78.0,72.75,9.4
Mauro Icardi ,181 cm,79 kg,Right,"Feb. 19, 1993",30,ST,80,80,20500000.0,55.0,9,74.0,28.5,69.5,64.0,71.71428571428571,76.375,8.6
Cristiano Biraghi ,185 cm,78 kg,Left,"Sept. 1, 1992",31,LB,80,80,18000000.0,55.0,7,77.0,75.0,76.83333333333333,79.0,76.0,73.75,9.8
Oriol Romeu ,183 cm,83 kg,Right,"Sept. 24, 1991",32,"CDM, CM",80,80,15000000.0,125.0,16,70.0,79.5,76.16666666666667,67.0,61.714285714285715,57.75,12.6
Sergi Roberto ,178 cm,68 kg,Right,"Feb. 7, 1992",31,"RB, CM",80,80,15500000.0,125.0,10,79.0,75.0,74.33333333333333,80.0,74.14285714285714,63.625,13.2
Jonathan Viera ,171 cm,67 kg,Right,"Oct. 1, 1989",34,"CAM, CM, LM",80,80,13000000.0,26.5,9,79.5,59.0,73.66666666666667,77.66666666666667,79.85714285714286,72.0,12.8
Isco ,176 cm,79 kg,Right,"April 21, 1992",31,"CAM, LM, CM",80,80,17500000.0,30.0,6,84.5,56.5,71.83333333333333,79.0,65.42857142857143,71.625,10.2
Joel Matip ,194 cm,90 kg,Right,"Aug. 8, 1991",32,CB,80,80,14500000.0,100.0,10,73.0,81.0,73.66666666666667,67.33333333333333,63.42857142857143,51.375,10.6
Oliver Baumann ,187 cm,82 kg,Right,"June 2, 1990",33,GK,80,80,7000000.0,31.0,79,18.0,16.0,39.666666666666664,23.0,48.42857142857143,19.125,78.6
Nemanja Gudelj ,187 cm,79 kg,Right,"Nov. 16, 1991",32,"CB, CDM",80,80,14500000.0,30.0,12,72.5,79.5,76.83333333333333,78.33333333333333,67.14285714285714,77.125,10.6
Jesús Corona ,173 cm,66 kg,Right,"Jan. 6, 1993",30,"RW, LW",80,80,11500000.0,45.0,9,85.5,73.0,79.5,78.0,79.42857142857143,69.125,10.0
Juan Cuadrado ,179 cm,72 kg,Right,"May 26, 1988",35,"RM, RB, RW",80,80,8500000.0,60.0,9,84.0,80.0,74.83333333333333,78.66666666666667,79.28571428571429,73.75,7.6
De Marcos ,182 cm,78 kg,Right,"April 14, 1989",34,RB,80,80,7500000.0,30.0,9,75.5,78.0,76.16666666666667,75.0,78.14285714285714,61.875,10.2
Francis Coquelin ,176 cm,74 kg,Right,"May 13, 1991",32,"CM, LM, RM",80,80,16500000.0,39.0,15,80.5,79.0,79.83333333333333,78.0,73.42857142857143,63.875,10.2
Pierre-Emerick Aubameyang ,187 cm,80 kg,Right,"June 18, 1989",34,ST,80,80,10500000.0,50.0,9,78.0,32.5,66.33333333333333,69.66666666666667,74.14285714285714,79.25,9.6
